province_id,province_name,lat,lng
QC,Quebec,45.5,-72.25
QC,Quebec,45.9333,-72.5833
QC,Quebec,46.55,-73.8167
QC,Quebec,45.0333,-73.05
QC,Quebec,46.5667,-71.8333
MB,Manitoba,50.9794,-99.0796
QC,Quebec,48.0609,-66.7491
AB,Alberta,51.9306,-114.0256
ON,Ontario,46.2667,-84
SK,Saskatchewan,52.37,-106.54
QC,Quebec,47.8167,-69.15
QC,Quebec,45.7667,-72.9833
NL,Newfoundland and Labrador,47.5685,-53.5471
QC,Quebec,46.25,-74.9333
SK,Saskatchewan,51.85,-105.0333
SK,Saskatchewan,50.1965,-104.2507
ON,Ontario,49.35,-82.15
QC,Quebec,46.1833,-70.7167
QC,Quebec,46.7167,-72.0833
QC,Quebec,46.5,-72.2
MB,Manitoba,50.9075,-97.2182
