"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Both sexes","25 to 54 years","Percentage","242","units","0","v53040142","1.1.8.1.3","5.3","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Both sexes","55 years and over","Percentage","242","units","0","v53040143","1.1.8.1.4","5.2","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v53040144","1.1.8.2.1","6.5","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Males","15 to 24 years","Percentage","242","units","0","v53040145","1.1.8.2.2","12.7","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Males","25 to 54 years","Percentage","242","units","0","v53040146","1.1.8.2.3","5.4","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Males","55 years and over","Percentage","242","units","0","v53040147","1.1.8.2.4","5.3","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v53040148","1.1.8.3.1","6.1","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Females","15 to 24 years","Percentage","242","units","0","v53040149","1.1.8.3.2","10.2","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Females","25 to 54 years","Percentage","242","units","0","v53040150","1.1.8.3.3","5.3","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Females","55 years and over","Percentage","242","units","0","v53040151","1.1.8.3.4","5.1","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v53040152","1.1.9.1.1","66.9","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Both sexes","15 to 24 years","Percentage","242","units","0","v53040153","1.1.9.1.2","66.8","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Both sexes","25 to 54 years","Percentage","242","units","0","v53040154","1.1.9.1.3","86.0","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Both sexes","55 years and over","Percentage","242","units","0","v53040155","1.1.9.1.4","31.8","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Males","15 years and over","Percentage","242","units","0","v53040156","1.1.9.2.1","72.3","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Males","15 to 24 years","Percentage","242","units","0","v53040157","1.1.9.2.2","66.8","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Males","25 to 54 years","Percentage","242","units","0","v53040158","1.1.9.2.3","91.0","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Males","55 years and over","Percentage","242","units","0","v53040159","1.1.9.2.4","39.0","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Females","15 years and over","Percentage","242","units","0","v53040160","1.1.9.3.1","61.7","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Females","15 to 24 years","Percentage","242","units","0","v53040161","1.1.9.3.2","66.9","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Females","25 to 54 years","Percentage","242","units","0","v53040162","1.1.9.3.3","81.0","","","","1"
"2006","Canada","2016A000011124","Total population","Participation rate","Females","55 years and over","Percentage","242","units","0","v53040163","1.1.9.3.4","25.5","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Both sexes","15 years and over","Percentage","242","units","0","v53040164","1.1.10.1.1","62.7","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Both sexes","15 to 24 years","Percentage","242","units","0","v53040165","1.1.10.1.2","59.2","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Both sexes","25 to 54 years","Percentage","242","units","0","v53040166","1.1.10.1.3","81.4","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Both sexes","55 years and over","Percentage","242","units","0","v53040167","1.1.10.1.4","30.1","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Males","15 years and over","Percentage","242","units","0","v53040168","1.1.10.2.1","67.6","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Males","15 to 24 years","Percentage","242","units","0","v53040169","1.1.10.2.2","58.3","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Males","25 to 54 years","Percentage","242","units","0","v53040170","1.1.10.2.3","86.1","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Males","55 years and over","Percentage","242","units","0","v53040171","1.1.10.2.4","36.9","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Females","15 years and over","Percentage","242","units","0","v53040172","1.1.10.3.1","57.9","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Females","15 to 24 years","Percentage","242","units","0","v53040173","1.1.10.3.2","60.1","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Females","25 to 54 years","Percentage","242","units","0","v53040174","1.1.10.3.3","76.8","","","","1"
"2006","Canada","2016A000011124","Total population","Employment rate","Females","55 years and over","Percentage","242","units","0","v53040175","1.1.10.3.4","24.2","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040176","1.2.1.1.1","5721.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040177","1.2.1.1.2","526.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040178","1.2.1.1.3","3064.1","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Both sexes","55 years and over","Persons","249","thousands","3","v53040179","1.2.1.1.4","2131.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Males","15 years and over","Persons","249","thousands","3","v53040180","1.2.1.2.1","2767.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Males","15 to 24 years","Persons","249","thousands","3","v53040181","1.2.1.2.2","273.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Males","25 to 54 years","Persons","249","thousands","3","v53040182","1.2.1.2.3","1482.1","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Males","55 years and over","Persons","249","thousands","3","v53040183","1.2.1.2.4","1011.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Females","15 years and over","Persons","249","thousands","3","v53040184","1.2.1.3.1","2954.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Females","15 to 24 years","Persons","249","thousands","3","v53040185","1.2.1.3.2","253.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Females","25 to 54 years","Persons","249","thousands","3","v53040186","1.2.1.3.3","1582.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Population","Females","55 years and over","Persons","249","thousands","3","v53040187","1.2.1.3.4","1119.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Both sexes","15 years and over","Persons","249","thousands","3","v53040188","1.2.2.1.1","3523.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040189","1.2.2.1.2","300.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040190","1.2.2.1.3","2544.2","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Both sexes","55 years and over","Persons","249","thousands","3","v53040191","1.2.2.1.4","679.8","","","","1"
